city,day,e,pct
MB,1,ele = 150 Wh,1
MB,2,ele = 150 Wh,0.996545769
MB,3,ele = 150 Wh,0.829525483
MB,4,ele = 150 Wh,0.140206186
MB,5,ele = 150 Wh,0.097609562
MB,6,ele = 150 Wh,0.021032505
MB,7,ele = 150 Wh,0.018808777
MB,8,ele = 150 Wh,0.036111111
MB,9,ele = 150 Wh,0.06122449
MB,10,ele = 150 Wh,0.028846154
MB,11,ele = 150 Wh,0.020833333
MB,12,ele = 150 Wh,0.003891051
MB,13,ele = 150 Wh,0.015936255
MB,14,ele = 150 Wh,0.004098361
MB,15,ele = 150 Wh,0.020089286
MB,16,ele = 150 Wh,0.01
MB,17,ele = 150 Wh,0.004424779
MB,18,ele = 150 Wh,0.002487562
MB,19,ele = 150 Wh,0.003484321
MB,20,ele = 150 Wh,0.002824859
MB,21,ele = 150 Wh,0.005934718
MB,22,ele = 150 Wh,0.006896552
MB,23,ele = 150 Wh,0.012891344
MB,24,ele = 150 Wh,0.003430532
MB,25,ele = 150 Wh,0
MB,26,ele = 150 Wh,0.009202454
MB,27,ele = 150 Wh,0.003246753
MB,28,ele = 150 Wh,0.00308642
MB,1,ele = 300 Wh,1
MB,2,ele = 300 Wh,0.996545769
MB,3,ele = 300 Wh,0.998242531
MB,4,ele = 300 Wh,0.995876289
MB,5,ele = 300 Wh,0.992031873
MB,6,ele = 300 Wh,0.732313576
MB,7,ele = 300 Wh,0.081504702
MB,8,ele = 300 Wh,0.058333333
MB,9,ele = 300 Wh,0.023809524
MB,10,ele = 300 Wh,0.017307692
MB,11,ele = 300 Wh,0.010416667
MB,12,ele = 300 Wh,0.019455253
MB,13,ele = 300 Wh,0.011952191
MB,14,ele = 300 Wh,0.004098361
MB,15,ele = 300 Wh,0.024553571
MB,16,ele = 300 Wh,0.01
MB,17,ele = 300 Wh,0.004424779
MB,18,ele = 300 Wh,0.007462687
MB,19,ele = 300 Wh,0.017421603
MB,20,ele = 300 Wh,0
MB,21,ele = 300 Wh,0.008902077
MB,22,ele = 300 Wh,0.006896552
MB,23,ele = 300 Wh,0.009208103
MB,24,ele = 300 Wh,0.006861063
MB,25,ele = 300 Wh,0.012232416
MB,26,ele = 300 Wh,0.015337423
MB,27,ele = 300 Wh,0.003246753
MB,28,ele = 300 Wh,0
MB,1,ele = 450 Wh,1
MB,2,ele = 450 Wh,0.996545769
MB,3,ele = 450 Wh,0.998242531
MB,4,ele = 450 Wh,0.995876289
MB,5,ele = 450 Wh,1
MB,6,ele = 450 Wh,1
MB,7,ele = 450 Wh,1
MB,8,ele = 450 Wh,0.997222222
MB,9,ele = 450 Wh,0.988095238
MB,10,ele = 450 Wh,0.194230769
MB,11,ele = 450 Wh,0.024305556
MB,12,ele = 450 Wh,0.031128405
MB,13,ele = 450 Wh,0.023904382
MB,14,ele = 450 Wh,0.008196721
MB,15,ele = 450 Wh,0.033482143
MB,16,ele = 450 Wh,0.008333333
MB,17,ele = 450 Wh,0.013274336
MB,18,ele = 450 Wh,0.009950249
MB,19,ele = 450 Wh,0.013937282
MB,20,ele = 450 Wh,0.005649718
MB,21,ele = 450 Wh,0.017804154
MB,22,ele = 450 Wh,0.017241379
MB,23,ele = 450 Wh,0.012891344
MB,24,ele = 450 Wh,0.006861063
MB,25,ele = 450 Wh,0.009174312
MB,26,ele = 450 Wh,0.012269939
MB,27,ele = 450 Wh,0.003246753
MB,28,ele = 450 Wh,0
MB,1,ele = 600 Wh,1
MB,2,ele = 600 Wh,0.996545769
MB,3,ele = 600 Wh,0.998242531
MB,4,ele = 600 Wh,0.995876289
MB,5,ele = 600 Wh,1
MB,6,ele = 600 Wh,1
MB,7,ele = 600 Wh,1
MB,8,ele = 600 Wh,1
MB,9,ele = 600 Wh,0.996598639
MB,10,ele = 600 Wh,0.996153846
MB,11,ele = 600 Wh,0.996527778
MB,12,ele = 600 Wh,0.996108949
MB,13,ele = 600 Wh,0.996015936
MB,14,ele = 600 Wh,0.422131148
MB,15,ele = 600 Wh,0.058035714
MB,16,ele = 600 Wh,0.028333333
MB,17,ele = 600 Wh,0.019911504
MB,18,ele = 600 Wh,0.014925373
MB,19,ele = 600 Wh,0.013937282
MB,20,ele = 600 Wh,0.011299435
MB,21,ele = 600 Wh,0.008902077
MB,22,ele = 600 Wh,0.013793103
MB,23,ele = 600 Wh,0.011049724
MB,24,ele = 600 Wh,0.010291595
MB,25,ele = 600 Wh,0.006116208
MB,26,ele = 600 Wh,0.003067485
MB,27,ele = 600 Wh,0.006493506
MB,28,ele = 600 Wh,0.00308642
MB,1,ele = 750 Wh,1
MB,2,ele = 750 Wh,0.996545769
