source,target,cost
1959,632,9.115982863750411
2011,2196,30.367910662827999
2163,605,5.563691746445990
2,3252,42.716092188238200
568,3226,23.021077125858600
369,3094,40.381856910791001
156,1205,63.551199911018600
1,1889,71.608419503698599
3,1303,45.340822979970099
4,2442,133.378059117813990
6,2240,98.760934988956706
7,2661,70.067729192984203
7,2767,86.383358475593397
8,1256,26.229889478684299
8,915,18.627588078733702
9,586,12.328075686303100
10,190,7.053659957139250
11,1600,12.956707922745901
11,2047,5.501586144499700
11,2068,15.085760659840901
12,684,34.033447768117597
12,2915,31.542901200163801
13,1247,36.463540886029499
13,2999,4.040354187625260
14,2363,26.982367365007001
14,2023,61.614743044156697
14,3187,59.017435432123200
15,455,13.621539621433399
15,2948,14.811072716194200
15,3171,20.372636285760599
15,111,21.986503813382399
16,812,187.723920557154997
17,593,311.856598050766024
18,2002,40.349202974020400
19,1052,76.285109641665997
19,1423,51.910728484586301
20,1211,44.171702294831697
21,943,15.541217976141700
21,3067,5.971841502602050
21,46,7.365223394876790
22,220,23.820955984624899
22,385,71.186679478537698
22,3356,144.132232646457993
23,3380,11.741857227533300
23,1697,42.752106232592297
24,3294,75.386322141201006
24,1289,13.554324502534801
24,2124,2.637658019965960
25,512,13.249416546771700
25,1917,52.730105285752003
25,276,21.080455834853002
26,3667,8.589767847154860
26,2191,140.490619141959996
27,3699,14.769303786774699
27,439,97.948657552799503
28,1610,48.569371757115498
28,1069,47.867637393579599
28,1229,84.121041177710197
29,1925,139.646675843004999
29,1121,53.656119059318002
29,519,82.567398209616499
31,230,104.260432933171998
32,730,11.921280957404800
32,1261,12.812065214204001
32,1596,106.388191089364994
33,2517,55.830702381926997
33,1459,34.470685172134601
33,78,30.458218358310202
34,661,68.150146503726404
36,598,8.977598715689631
37,3536,88.640801008601599
37,3315,101.853909378821001
37,2783,93.410905332840201
37,513,102.693058275124002
38,144,14.186593485235001
39,1943,47.021910780653897
39,1002,11.106615455346100
39,2197,16.114307057968599
42,2632,62.035988510959100
42,2669,234.826102524944986
43,1321,6.097755766375170
43,3603,5.850510955186940
44,3085,104.186935307965001
44,2364,10.868527503090000
44,1992,30.111463953625101
44,1860,124.529746945689993
45,1492,24.791819159079800
45,815,3.177983700544780
46,1931,21.859991764194401
47,1194,10.932213112456200
47,1982,6.623015006102420
48,863,5.370193944765860
48,3423,3.778926586045570
48,1768,51.157686101174697
49,2273,87.213263210088101
49,1919,5.193355568018760
